Id,Model,Price,Age_08_04,Color,,,,,,,,,,,,,
30,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,17950,30,Blue,,,,,,,,,,,,,
31, TOYOTA Corolla 1.4 VVTI Linea Terra 2/3-Doors,12950,29,Silver,,,,,,,,,,,,,
32,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15750,22,Blue,,,,,,,,,,,,,
33,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,27,Black,,,,,,,,,,,,,
34, TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,14950,26,Grey,,,,,,,,,,,,,
35, TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15500,22,Grey,,,,,,,,,,,,,
36,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15750,26,Grey,,,,,,,,,,,,,
37,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,25,Grey,,,,,,,,,,,,,
38,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA 2/3-Doors,14950,23,Blue,,,,,,,,,,,,,
39,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA 2/3-Doors,15750,32,Green,,,,,,,,,,,,,
40, TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,14750,27,Blue,,,,,,,,,,,,,
41, TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,13950,22,Blue,,,,,,,,,,,,,
42,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,16750,27,Red,,,,,,,,,,,,,
43,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,13950,22,Blue,,,,,,,,,,,,,
44,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,16950,27,Red,,,,,,,,,,,,,
45,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,16950,22,Red,,,,,,,,,,,,,
46, TOYOTA Corolla 2.0 D4D 90 5DR SOL 4/5-Doors,19000,23,Red,,,,,,,,,,,,,
47,TOYOTA Corolla 2.0 D4D 90 5DR TERRA 4/5-Doors,17950,27,Grey,,,,,,,,,,,,,
48,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15800,22,Blue,,,,,,,,,,,,,
49, TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,17950,22,Grey,,,,,,,,,,,,,
50,TOYOTA Corolla 1.8 16V VVTLI 5DR T SPORT 4/5-Doors,21950,31,Grey,,,,,,,,,,,,,
51,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,17950,22,Grey,,,,,,,,,,,,,
52, TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15750,30,Grey,,,,,,,,,,,,,
53,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,20500,26,Blue,,,,,,,,,,,,,
54,TOYOTA Corolla 1.8 VVTL-i T-Sport 4/5-Doors,21950,27,Green,,,,,,,,,,,,,
55, TOYOTA Corolla 1.6 16V VVT I 5DR TERRA AUT4 4/5-Doors,15500,25,Green,,,,,,,,,,,,,
56, TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13250,32,Black,,,,,,,,,,,,,
57,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15250,28,Grey,,,,,,,,,,,,,
58,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15250,26,Grey,,,,,,,,,,,,,
59, TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,18950,23,Blue,,,,,,,,,,,,,
60, TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,15999,30,Red,,,,,,,,,,,,,
61,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,14950,22,Black,,,,,,,,,,,,,
62, TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,16500,27,Red,,,,,,,,,,,,,
63,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18750,31,Blue,,,,,,,,,,,,,
64,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,17950,30,Blue,,,,,,,,,,,,,
65,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17950,27,Black,,,,,,,,,,,,,
66,TOYOTA Corolla 1.6 VVT-I 5DR LINEA SOL 4/5-Doors,16950,26,Blue,,,,,,,,,,,,,
67,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,28,Black,,,,,,,,,,,,,
68,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,14950,22,Grey,,,,,,,,,,,,,
69,TOYOTA Corolla 2.0 D4D 110 5DR SOL 4/5-Doors,22250,22,Grey,,,,,,,,,,,,,
70,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15950,25,Black,,,,,,,,,,,,,
71, TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15950,28,Grey,,,,,,,,,,,,,
72,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,12995,32,Grey,,,,,,,,,,,,,
73, TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,28,Grey,,,,,,,,,,,,,
74, TOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,15750,23,Grey,,,,,,,,,,,,,
75, TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,28,Black,,,,,,,,,,,,,
76,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16950,23,Grey,,,,,,,,,,,,,
77,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18750,31,Grey,,,,,,,,,,,,,
78,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,18450,27,Silver,,,,,,,,,,,,,
79,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,16895,29,Grey,,,,,,,,,,,,,
80,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,14900,30,Grey,,,,,,,,,,,,,
81,TOYOTA Corolla 1.6 5drs 1 4/5-Doors,18950,25,Blue,,,,,,,,,,,,,
82,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,17250,29,Grey,,,,,,,,,,,,,
83, TOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,15450,25,Grey,,,,,,,,,,,,,
84,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,17950,31,Blue,,,,,,,,,,,,,
85, TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16650,25,Grey,,,,,,,,,,,,,
86,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,17450,28,Grey,,,,,,,,,,,,,
87, TOYOTA Corolla 1.4 VVTI  (Nw type) 4/5-Doors,14900,30,Silver,,,,,,,,,,,,,
88,TOYOTA Corolla 2.0 D4D 90 3DR TERRA COMF BNS 2/3-Doors,17950,20,Blue,,,,,,,,,,,,,
89,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,Grey,,,,,,,,,,,,,
90,TOYOTA Corolla 2.0 D4D 110 3DR SOL 2/3-Doors,21950,19,Grey,,,,,,,,,,,,,
91,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16450,20,Black,,,,,,,,,,,,,
92, TOYOTA Corolla 2.0 D4D 90 3DR SOL BNS 2/3-Doors,22250,20,Black,,,,,,,,,,,,,
93,TOYOTA Corolla 2.0 D 4D Linea Sol 3 Doors 2/3-Doors,19950,16,Grey,,,,,,,,,,,,,
94,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,20,Grey,,,,,,,,,,,,,
95,TOYOTA Corolla 1.6 16v VVT-i Linea Sol 2/3-Doors,18900,20,Black,,,,,,,,,,,,,
96,TOYOTA Corolla 2.0 D4D Linea Sol 3 Doors 2/3-Doors,19950,17,Blue,,,,,,,,,,,,,
97, TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,Black,,,,,,,,,,,,,
98,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,Blue,,,,,,,,,,,,,
99,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,18750,11,Blue,,,,,,,,,,,,,
100,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17450,18,Grey,,,,,,,,,,,,,
101, TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,18990,20,Grey,,,,,,,,,,,,,
102, TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16250,19,Blue,,,,,,,,,,,,,
103,TOYOTA Corolla 1.4 VVT-i Sol 2/3-Doors,18500,13,Grey,,,,,,,,,,,,,
104,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,18500,11,Grey,,,,,,,,,,,,,
105,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMF AUT 2/3-Doors,19450,11,Blue,,,,,,,,,,,,,
106, TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16950,19,Green,,,,,,,,,,,,,
107, TOYOTA Corolla 1.6 VVT-i Linea Terra Comfort 2/3-Doors,18800,14,Blue,,,,,,,,,,,,,
108,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,17450,17,Grey,,,,,,,,,,,,,
109, TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17950,20,Blue,,,,,,,,,,,,,
111, TOYOTA Corolla VERSO 2.0 D4D SOL (7) BNS MPV,32500,4,Grey,,,,,,,,,,,,,
112,TOYOTA Corolla VERSO 2.0 D4D SOL (7) MPV,31000,4,Grey,,,,,,,,,,,,,
113,TOYOTA Corolla VERSO 2.0 D4D SOL (7) MPV,31275,4,Grey,,,,,,,,,,,,,
114, TOYOTA Corolla VERSO 2.0 D4D LINEA SOL MPV,24950,8,Grey,,,,,,,,,,,,,
115,TOYOTA Corolla VERSO 2.0 D4D LINEA SOL MPV,24950,8,Grey,,,,,,,,,,,,,
116,TOYOTA Corolla 2.0 D4D 116 5DR LUNA 4/5-Doors,22950,7,Silver,,,,,,,,,,,,,
117,TOYOTA Corolla 2.0 D4D 90 WAGON SOL Stationwagen,24990,8,Grey,,,,,,,,,,,,,
118, TOYOTA Corolla 2.0 D4D 90 5DR SOL 4/5-Doors,21950,8,Grey,,,,,,,,,,,,,
119,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17900,7,Grey,,,,,,,,,,,,,
120,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,19250,20,Blue,,,,,,,,,,,,,
121,TOYOTA Corolla 2.0 D4D 110 5DR EXEC BNS 4/5-Doors,22250,17,Blue,,,,,,,,,,,,,
122,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18950,13,Silver,,,,,,,,,,,,,
123, TOYOTA Corolla 2.0 D4D Linea Terra Comfort 4/5-Doors,19950,19,Silver,,,,,,,,,,,,,
124, TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,16350,14,Black,,,,,,,,,,,,,
125,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,20,Blue,,,,,,,,,,,,,
126,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,16950,17,Red,,,,,,,,,,,,,
127,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,21750,16,Black,,,,,,,,,,,,,
128,TOYOTA Corolla 1.6 VVT-i Linea Sol 4/5-Doors,15950,20,Blue,,,,,,,,,,,,,
129,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,20,Blue,,,,,,,,,,,,,
130,TOYOTA Corolla 1.4 16V VVT I 5DR SOL 4/5-Doors,17950,17,Blue,,,,,,,,,,,,,
131,TOYOTA Corolla 1.6 vvt-i nw model comfort airco 5drs 4/5-Doors,15850,13,Black,,,,,,,,,,,,,
132,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16250,20,Grey,,,,,,,,,,,,,
133, TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15950,20,Blue,,,,,,,,,,,,,
134,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16250,19,Blue,,,,,,,,,,,,,
135,TOYOTA Corolla 1 6-16v VVT-i Linea Terra Comfort Airco 5drs 4/5-Doors,15950,13,Black,,,,,,,,,,,,,
136, TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,20,Blue,,,,,,,,,,,,,
137,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,19,Grey,,,,,,,,,,,,,
138,TOYOTA Corolla 1.4 16V VVT I 5DR SOL 4/5-Doors,18450,19,Black,,,,,,,,,,,,,
139, TOYOTA Corolla 1.6 terra comfort 5drs airco 4/5-Doors,16250,13,Black,,,,,,,,,,,,,
140,TOYOTA Corolla Luna 5drs D4D116 PK 4/5-Doors,23000,11,Grey,,,,,,,,,,,,,
141,TOYOTA Corolla 1.6i 16V VVT I SOL + Navigatie 4/5-Doors,19900,20,Blue,,,,,,,,,,,,,
142,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16450,20,Silver,,,,,,,,,,,,,
143, TOYOTA Corolla 1.8 VVTL-i T-Sport 3-Drs 4/5-Doors,23950,19,Silver,,,,,,,,,,,,,
144, TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,13,Black,,,,,,,,,,,,,
145,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA COMF 4/5-Doors,18500,16,Grey,,,,,,,,,,,,,
146,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,15,Blue,,,,,,,,,,,,,
147, TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,16450,16,Black,,,,,,,,,,,,,
148, TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMF AUT 4/5-Doors,20500,20,Blue,,,,,,,,,,,,,
149,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC BNS 4/5-Doors,24500,13,Grey,,,,,,,,,,,,,
150,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19450,19,Grey,,,,,,,,,,,,,
151,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL AUT4 4/5-Doors,20950,14,Silver,,,,,,,,,,,,,
152, TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17200,20,Grey,,,,,,,,,,,,,
153,TOYOTA Corolla 1.6 16V VVT I 5DR SOL BNS 4/5-Doors,19950,19,Black,,,,,,,,,,,,,
154,TOYOTA Corolla 1.4 16V VVT I 5DR LUNA BNS 4/5-Doors,18450,10,Black,,,,,,,,,,,,,
155, TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,19500,12,Silver,,,,,,,,,,,,,
156,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,21750,13,Black,,,,,,,,,,,,,
157,TOYOTA Corolla 1.4 16V VVT I SEDAN TERRA COMF 4/5-Doors,16868,15,Blue,,,,,,,,,,,,,
158,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL 4/5-Doors,19500,16,Grey,,,,,,,,,,,,,
159,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18900,11,Blue,,,,,,,,,,,,,
160,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19750,17,Grey,,,,,,,,,,,,,
161,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,19750,16,Grey,,,,,,,,,,,,,
162,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL 4/5-Doors,18950,16,Blue,,,,,,,,,,,,,
163, TOYOTA Corolla 1.6 16v VVTi Linea Sol 4/5-Doors,20750,17,Silver,,,,,,,,,,,,,
164,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,19600,9,Silver,,,,,,,,,,,,,
165,TOYOTA Corolla 1.6 16v VVTi Terra Comfort 4/5-Doors,19500,14,Silver,,,,,,,,,,,,,
166,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17650,11,Blue,,,,,,,,,,,,,
167,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,14,Blue,,,,,,,,,,,,,
168,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,19950,14,Grey,,,,,,,,,,,,,
169,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL BNS AUT4 4/5-Doors,20950,14,Silver,,,,,,,,,,,,,
170,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,20500,12,Black,,,,,,,,,,,,,
171,TOYOTA Corolla 1.4-16v VVT-i Linea Terra Comfort NIEUW AIRCO 4/5-Doors,17795,9,Silver,,,,,,,,,,,,,
172,TOYOTA Corolla 1.6-16v VVT-i Linea Terra Comfort AIRCO NIEUW 5DRS 4/5-Doors,18245,9,Grey,,,,,,,,,,,,,
173,TOYOTA Corolla 1.6-16v VVT-i Executive B.edition 4/5-Doors,23750,8,Blue,,,,,,,,,,,,,
174,TOYOTA Corolla 1.4 16V VVT I 5DR LUNA 4/5-Doors,19500,8,Black,,,,,,,,,,,,,
175, TOYOTA Corolla 1.4 16V VVT I 5DR LUNA 4/5-Doors,18950,8,Grey,,,,,,,,,,,,,
176,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,21950,8,Silver,,,,,,,,,,,,,
177,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,8,Black,,,,,,,,,,,,,
178,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18950,8,Grey,,,,,,,,,,,,,
179,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,19950,7,Grey,,,,,,,,,,,,,
180,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,21950,8,Grey,,,,,,,,,,,,,
181,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,22500,6,Black,,,,,,,,,,,,,
182,TOYOTA Corolla 1.6 VVT-I 5DR LINEA TERRA 4/5-Doors,18500,7,Red,,,,,,,,,,,,,
183,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18700,7,Grey,,,,,,,,,,,,,
184,TOYOTA Corolla 1.4 16V 5DR TERRA 4/5-Doors,21125,2,Blue,,,,,,,,,,,,,
185,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,21500,2,Blue,,,,,,,,,,,,,
186, TOYOTA Corolla 1.4-16v VVT-i Linea Terra Comfort NIEUW AIRCO 4/5-Doors,17795,1,Grey,,,,,,,,,,,,,
187,TOYOTA Corolla 1.6-16v VVT-i Linea Terra Comfort NIEUW AIRCO 5drs 4/5-Doors,18245,1,Grey,,,,,,,,,,,,,
188,TOYOTA Corolla 1.9 D HATCHB SOL 2/3-Doors,6950,43,White,,,,,,,,,,,,,
189,TOYOTA Corolla 2.0 D4D SEDAN SOL 4/5-Doors,9500,38,Red,,,,,,,,,,,,,
190,TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,11950,40,Blue,,,,,,,,,,,,,
191,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,7750,43,White,,,,,,,,,,,,,
192,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,11950,40,Grey,,,,,,,,,,,,,
193,TOYOTA Corolla 1.8D Stationwagen,4350,44,White,,,,,,,,,,,,,
194,TOYOTA Corolla 1.8D 4/5-Doors,4750,44,Silver,,,,,,,,,,,,,
195,TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,11750,40,Red,,,,,,,,,,,,,
196,TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,13250,41,Blue,,,,,,,,,,,,,
197,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,11950,37,Red,,,,,,,,,,,,,
198,TOYOTA Corolla 1.9 D Sedan 4/5-Doors,11900,44,Silver,,,,,,,,,,,,,
199,TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,14750,39,Blue,,,,,,,,,,,,,
200,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,42,Grey,,,,,,,,,,,,,
201,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,39,Blue,,,,,,,,,,,,,
202,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11495,44,Red,,,,,,,,,,,,,
203,TOYOTA Corolla 1.4 VVTI Linea Terra 2/3-Doors,11250,40,Red,,,,,,,,,,,,,
204,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,10500,42,Grey,,,,,,,,,,,,,
205,TOYOTA Corolla 1.9 D HATCHB SOL 2/3-Doors,10450,35,Red,,,,,,,,,,,,,
206,TOYOTA Corolla 19D LB Linea Terra 4/5-Doors,12950,43,Green,,,,,,,,,,,,,
207,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,11500,44,Black,,,,,,,,,,,,,
208,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12500,40,Silver,,,,,,,,,,,,,
209,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10950,43,Red,,,,,,,,,,,,,
210,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11450,41,Grey,,,,,,,,,,,,,
211,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11950,37,Green,,,,,,,,,,,,,
212,TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,13250,41,Black,,,,,,,,,,,,,
213,TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,14750,40,Grey,,,,,,,,,,,,,
214,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA AUT4 4/5-Doors,11790,34,Blue,,,,,,,,,,,,,
215,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11450,40,Blue,,,,,,,,,,,,,
216,TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors,13500,33,Grey,,,,,,,,,,,,,
217,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,10950,33,Grey,,,,,,,,,,,,,
218,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,13500,33,Green,,,,,,,,,,,,,
219,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,41,Silver,,,,,,,,,,,,,
220,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,44,Black,,,,,,,,,,,,,
221,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,38,Black,,,,,,,,,,,,,
222,TOYOTA Corolla 1.6 Terra LB 4/5-Doors,11950,43,Blue,,,,,,,,,,,,,
223,TOYOTA Corolla 1.6 HB LINEA SOL 4/5-Doors,12450,44,Black,,,,,,,,,,,,,
224,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,11950,40,Blue,,,,,,,,,,,,,
225,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,14950,44,Red,,,,,,,,,,,,,
